Geo_Type,Geo_Div,Geo_ID,Geo_Description,Geo_ID_Val,X,Y,CensusDiv,US_States,Viz_Tick
Domestic,Other,15180,Brownsville-Harlingen,15180,-97.4528596144,26.1515011876,WSC,TX,1
Domestic,100,32580,McAllen-Edinburg-Pharr,32580,-98.1810705064,26.3967205869,WSC,TX,2
Domestic,Other,29700,Laredo,29700,-99.3315652896,27.7610624253,WSC,TX,3
Domestic,100,21340,El Paso,21340,-106.234828737,31.7685507175,WSC,TX,4
Domestic,Other,36220,Odessa,36220,-102.542763449,31.8691637513,WSC,TX,5
Domestic,Other,33260,Midland,33260,-102.031623533,31.8691687068,WSC,TX,6
Domestic,Other,41660,San Angelo,41660,-100.673038955,31.3636636302,WSC,TX,7
Domestic,Other,10180,Abilene,10180,-99.7176783579,32.4496900329,WSC,TX,8
Domestic,Other,31180,Lubbock,31180,-101.560102035,33.6124165613,WSC,TX,9
Domestic,Other,11100,Amarillo,11100,-101.626097823,35.1850525884,WSC,TX,10
Domestic,Other,48660,Wichita Falls,48660,-98.4914009573,33.7747645728,WSC,TX,11
Domestic,Other,30020,Lawton,30020,-98.4716610541,34.6621012924,WSC,OK,12
Domestic,100,36420,Oklahoma City,36420,-97.5038814669,35.4298679185,WSC,OK,13
Domestic,100,46140,Tulsa,46140,-96.1662596354,36.2504292673,WSC,OK,14
Domestic,Rest,90040,Rest of Oklahoma,90040,-97.50829,35.58345,WSC,OK,15
Domestic,Other,22900,Fort Smith,22900,-94.4634802346,35.2393826485,WSC,AR-OK,16
Domestic,Other,22220,Fayetteville-Springdale-Rogers,22220,-94.1215704513,36.196182567,WSC,AR-MO,17
Domestic,Other,27860,Jonesboro,27860,-90.6483859286,35.6981865417,WSC,AR,18
Domestic,Rest,90005,Rest of Arkansas,90005,-92.43916,34.89983,WSC,AR,19
Domestic,100,30780,Little Rock-North Little Rock,30780,-92.3971661395,34.7572199707,WSC,AR,20
Domestic,Other,26300,Hot Springs,26300,-93.1504253611,34.5766864972,WSC,AR,21
Domestic,Other,38220,Pine Bluff,38220,-91.949887647,34.0772885673,WSC,AR,22
Domestic,Other,45500,Texarkana,45500,-94.2062418474,33.3912185174,WSC,TX,23
Domestic,Other,30980,Longview,30980,-94.8294359096,32.371658596,WSC,TX,24
Domestic,Other,46340,Tyler,46340,-95.2691825962,32.3750353978,WSC,TX,25
Domestic,Other,43300,Sherman-Denison,43300,-96.6777211661,33.6268129459,WSC,TX,26
Domestic,100,19100,Dallas-Fort Worth-Arlington,19100,-96.9312915515,32.8656661276,WSC,TX,27
Domestic,Other,47380,Waco,47380,-97.2017877799,31.5523768984,WSC,TX,28
Domestic,Other,28660,Killeen-Temple-Fort Hood,28660,-97.7876979547,31.2080935348,WSC,TX,29
Domestic,Other,17780,College Station-Bryan,17780,-96.4889183579,30.7565091434,WSC,TX,30
Domestic,Rest,90048,Rest of Texas,90048,-99.35884,31.49493,WSC,TX,31
Domestic,100,12420,Austin-Round Rock,12420,-97.654446588,30.2626091906,WSC,TX,32
Domestic,100,41700,San Antonio,41700,-98.6022636039,29.4287640107,WSC,TX,33
Domestic,Other,18580,Corpus Christi,18580,-97.4013047008,27.8928384191,WSC,TX,34
Domestic,Other,47020,Victoria,47020,-96.9800261123,28.6208662749,WSC,TX,35
Domestic,100,26420,Houston-Baytown-Sugar Land,26420,-95.3422790435,29.8021228507,WSC,TX,36
Domestic,Other,13140,Beaumont-Port Arthur,13140,-94.2013601114,30.0764714178,WSC,TX,37
Domestic,Other,29340,Lake Charles,29340,-93.2564571518,29.9852474297,WSC,LA,38
Domestic,Other,43340,Shreveport-Bossier City,43340,-93.745105534,32.4387851235,WSC,LA,39
Domestic,Other,33740,Monroe,33740,-92.2846288832,32.6869100421,WSC,LA,40
Domestic,Rest,90022,Rest of Louisiana,90022,-92.00678,31.07271,WSC,LA,41
Domestic,Other,10780,Alexandria,10780,-92.5418574655,31.3305506938,WSC,LA,42
Domestic,Other,29180,Lafayette,29180,-91.7213275814,30.1483496127,WSC,LA,43
Domestic,100,12940,Baton Rouge,12940,-91.1327839769,30.5710500016,WSC,LA,44
Domestic,Other,26380,Houma-Bayou Cane-Thibodaux,26380,-90.6575066235,29.4048876682,WSC,LA,45
Domestic,100,35380,New Orleans-Metairie-Kenner,35380,-89.6714573947,29.8020423179,WSC,LA,46
Domestic,Other,25060,Gulfport-Biloxi,25060,-89.1990813747,30.4944865743,ESC,MS,47
Domestic,Other,37700,Pascagoula,37700,-88.6295716517,30.589839701,ESC,MS,48
Domestic,Other,25620,Hattiesburg,25620,-89.2288157278,31.1873624695,ESC,MS,49
Domestic,100,27140,Jackson,27140,-90.1769038028,32.2022355328,ESC,MS,50
Domestic,Rest,90028,Rest of Mississippi,90028,-89.66542,32.75161,ESC,MS,51
Domestic,100,32820,Memphis,32820,-89.8696114842,35.024185687,ESC,TN-MS-AR,52
Domestic,Other,27180,Jackson,27180,-88.7624027631,35.5451310022,ESC,TN,53
Domestic,100,34980,Nashville-Davidson--Murfreesboro,34980,-86.6870182468,36.1392035127,ESC,TN,54
Domestic,Other,17300,Clarksville,17300,-87.6230557902,36.6929491108,ESC,TN-KY,55
Domestic,Other,36980,Owensboro,36980,-87.0694748473,37.6996527682,ESC,KY,56
Domestic,Other,14540,Bowling Green,14540,-86.3570157591,37.0712100349,ESC,KY,57
Domestic,Other,21060,Elizabethtown,21060,-85.8851819575,37.6531158221,ESC,KY,58
Domestic,100,31140,Louisville,31140,-85.6888198022,38.2389658956,ESC,KY-IN,59
